longitude	latitude
0 52.00013889146563 18.999579337442377
1 52.000142917240765 19.000444196127265
2 52.00005166509248 19.000173560076224
3 52.000038915840385 18.99956021641703
4 52.00003690308052 19.000391245595544
5 52.00006172983215 18.999901453177063]
6 52.0000758203724 18.99993969522775
7 52.00006508463014 18.999826439923776
8 52.00006508463014 18.999826439923776
9 52.00002616805097 18.99989409893655
10 52.00002616805097 18.99989409893655
11 52.0000154322511 18.99977348939206
12 51.99994229522836 19.00042360425382
13 51.99993826929692 18.999557274720836
14 51.99991814071735 18.999844090101025
15 51.99991478587575 18.99988086130362
16 51.9999523605884 19.000111784455868
17 51.99984701643529 18.999555803872738
18 51.99984164934475 18.99983820670861
19 51.99984500342539 19.000464788000734
20 51.99984835907435 19.000188268557253
